station_name,toilet_name,lat,lon,wheelchair,baby,ostomate,note
上野,上野駅周辺のトイレ,35.711886,139.7762665,,,,OpenStreetMapデータ
上野,上野駅周辺のトイレ (-1階),35.7115553,139.7772361,,,,OpenStreetMapデータ
上野,上野駅周辺のトイレ (-1階),35.7114643,139.7771119,,,,OpenStreetMapデータ
上野,上野駅周辺のトイレ (-1階),35.7115134,139.7771753,,○,,OpenStreetMapデータ
上野,上野駅周辺のトイレ (0階),35.711028,139.7736849,○,○,,OpenStreetMapデータ
上野,上野駅周辺のトイレ (0階),35.7112229,139.7735602,,○,,OpenStreetMapデータ
上野,上野駅周辺のトイレ (-1階),35.7126203,139.7766789,○,,,OpenStreetMapデータ
上野,上野駅周辺のトイレ,35.7136298,139.7759152,,,,OpenStreetMapデータ
上野,上野駅周辺のトイレ,35.7175451,139.776007,○,,,OpenStreetMapデータ
上野,上野駅周辺のトイレ,35.7120795,139.7727882,,,,OpenStreetMapデータ
上野,上野駅周辺のトイレ,35.7150826,139.7741847,○,○,,OpenStreetMapデータ
上野,上野駅周辺のトイレ,35.7149342,139.7748887,○,○,,OpenStreetMapデータ
上野,上野駅周辺のトイレ (1階),35.7130983,139.7760018,,,,OpenStreetMapデータ
上野,上野駅周辺のトイレ (3階),35.7144067,139.7766231,,,,OpenStreetMapデータ
上野,上野駅周辺のトイレ,35.7161055,139.7750808,○,,,OpenStreetMapデータ
秋葉原,秋葉原駅周辺のトイレ,35.6965257,139.7798467,○,,,OpenStreetMapデータ
秋葉原,オアシスakiba,35.6985679,139.7735701,○,,,OpenStreetMapデータ
秋葉原,秋葉原駅周辺のトイレ,35.6971484,139.772828,,,,OpenStreetMapデータ
秋葉原,秋葉原駅周辺のトイレ (-1階),35.6975798,139.7754852,,,,OpenStreetMapデータ
秋葉原,秋葉原駅周辺のトイレ (1階),35.7009355,139.7727278,○,○,,OpenStreetMapデータ
秋葉原,秋葉原駅周辺のトイレ (0階),35.7000589,139.7726048,○,,,OpenStreetMapデータ
秋葉原,秋葉原駅周辺のトイレ (1階),35.6979763,139.7737982,,,,OpenStreetMapデータ
秋葉原,秋葉原駅周辺のトイレ (0階),35.7003094,139.7732795,,○,,OpenStreetMapデータ
秋葉原,秋葉原駅周辺のトイレ,35.6983286,139.7719985,,,,OpenStreetMapデータ
秋葉原,秋葉原駅周辺のトイレ,35.698338,139.7720001,,,,OpenStreetMapデータ
秋葉原,秋葉原駅周辺のトイレ,35.6984837,139.7726991,,,,OpenStreetMapデータ
秋葉原,秋葉原駅周辺のトイレ,35.6984782,139.7727653,,,,OpenStreetMapデータ
秋葉原,秋葉原駅周辺のトイレ,35.6984312,139.773285,,,,OpenStreetMapデータ
秋葉原,秋葉原駅周辺のトイレ,35.6988151,139.7743416,,,,OpenStreetMapデータ
秋葉原,秋葉原駅周辺のトイレ,35.6982542,139.7744472,,,,OpenStreetMapデータ
秋葉原,秋葉原駅周辺のトイレ,35.6968837,139.7711951,,,,OpenStreetMapデータ
秋葉原,和泉橋公衆便所,35.6972023,139.7751558,,,,OpenStreetMapデータ
秋葉原,台東一丁目公衆トイレ,35.7007121,139.7770823,,,,OpenStreetMapデータ
秋葉原,秋葉原駅周辺のトイレ,35.6988173,139.7790945,,,,OpenStreetMapデータ
秋葉原,秋葉原駅周辺のトイレ,35.6988364,139.7790225,○,○,,OpenStreetMapデータ
秋葉原,秋葉原駅周辺のトイレ,35.6976448,139.7794923,○,,,OpenStreetMapデータ
秋葉原,和泉橋公衆便所,35.6972549,139.775191,,,,OpenStreetMapデータ
新橋,新橋駅周辺のトイレ,35.6650924,139.7565184,○,○,,OpenStreetMapデータ
新橋,元八通八橋際公衆便所,35.6672335,139.7621148,,,,OpenStreetMapデータ
新橋,新橋駅周辺のトイレ,35.6664609,139.759926,,,,OpenStreetMapデータ
新橋,新橋駅周辺のトイレ,35.6665188,139.7567022,,,,OpenStreetMapデータ
中野,中野駅周辺のトイレ,35.7072478,139.6677764,,,,OpenStreetMapデータ
中野,中野駅周辺のトイレ,35.7080782,139.6613194,,,,OpenStreetMapデータ
中野,中野駅周辺のトイレ,35.7096454,139.6681132,,,,OpenStreetMapデータ
中野,中野駅周辺のトイレ,35.7084567,139.6615557,,,,OpenStreetMapデータ
中野,北口トイレ（改札外） (0階),35.7061097,139.6660313,○,○,,OpenStreetMapデータ
中野,北口トイレ（改札内） (0階),35.7059732,139.6658499,○,○,,OpenStreetMapデータ
中野,南口トイレ（改札内） (0階),35.7054806,139.665889,○,○,,OpenStreetMapデータ
吉祥寺,吉祥寺駅周辺のトイレ,35.6997773,139.5768945,,,,OpenStreetMapデータ
吉祥寺,吉祥寺駅周辺のトイレ,35.698482,139.5810609,○,○,,OpenStreetMapデータ
吉祥寺,吉祥寺駅周辺のトイレ,35.698879,139.5780516,○,○,,OpenStreetMapデータ
吉祥寺,吉祥寺駅周辺のトイレ,35.7000926,139.578465,○,,,OpenStreetMapデータ
吉祥寺,吉祥寺駅周辺のトイレ,35.700673,139.573721,,,,OpenStreetMapデータ
吉祥寺,吉祥寺駅周辺のトイレ,35.7012839,139.5765716,,○,,OpenStreetMapデータ
吉祥寺,吉祥寺駅周辺のトイレ,35.6991539,139.575445,,,,OpenStreetMapデータ
吉祥寺,吉祥寺駅周辺のトイレ,35.7032672,139.5800861,,,,OpenStreetMapデータ
自由が丘,自由が丘駅周辺のトイレ,35.610004,139.6691641,○,,,OpenStreetMapデータ
自由が丘,自由が丘駅周辺のトイレ,35.6074816,139.6686047,○,,,OpenStreetMapデータ
自由が丘,自由が丘駅周辺のトイレ,35.6078157,139.671657,○,,,OpenStreetMapデータ
自由が丘,自由が丘駅周辺のトイレ,35.6102696,139.6672293,○,○,,OpenStreetMapデータ
自由が丘,自由が丘駅周辺のトイレ (0階),35.6076565,139.6693709,○,,,OpenStreetMapデータ
下北沢,下北沢駅周辺のトイレ (-2階),35.6609602,139.6665792,,,,OpenStreetMapデータ
下北沢,下北沢駅周辺のトイレ (-2階),35.6609295,139.6665505,,,,OpenStreetMapデータ
下北沢,下北沢駅周辺のトイレ (0階),35.6611001,139.6666905,○,○,,OpenStreetMapデータ
下北沢,下北沢駅周辺のトイレ (0階),35.6610889,139.6666748,○,,,OpenStreetMapデータ
下北沢,下北沢駅周辺のトイレ,35.6617306,139.6632586,,,,OpenStreetMapデータ
下北沢,下北沢駅周辺のトイレ,35.6614055,139.6673419,,,,OpenStreetMapデータ
