駅名,トイレ表示名,住所(場所),固定ID (これをコピー)
新宿駅(東口),新宿駅(東口),JR山手線 新宿駅(東口),770b5ef5-dbdf-5f67-829b-4835feeb92df
新宿駅(西口),新宿駅(西口),JR山手線 新宿駅(西口),5474bbca-cbe3-5baf-9b0f-8c5074149e6d
新宿駅(南口),新宿駅(南口),JR山手線 新宿駅(南口),4cd897c5-188c-52ed-bdcd-0763a5b54a9e
新宿駅(新南口),新宿駅(新南口),JR山手線 新宿駅(新南口),230db53d-2739-5c11-a235-956fc48ccb09
池袋駅(東口),池袋駅(東口),JR山手線 池袋駅(東口),d3fcfa75-c394-55af-95ba-788da066648e
池袋駅(西口),池袋駅(西口),JR山手線 池袋駅(西口),41d4133c-c6f9-50f0-ac5c-c2ad683b9ad1
東京駅(丸の内北口),東京駅(丸の内北口),JR山手線 東京駅(丸の内北口),f761d09e-d214-5646-adf8-5610e18aa5be
東京駅(丸の内南口),東京駅(丸の内南口),JR山手線 東京駅(丸の内南口),37c5f7b5-ffdd-50f6-9531-130b28d2e12e
渋谷駅(新南口),渋谷駅(新南口),JR山手線 渋谷駅(新南口),b3ef5877-95ac-5a00-96b5-d01c732f229e
渋谷駅(西口),渋谷駅(西口),JR山手線 渋谷駅(西口),04aa565d-b235-5ab3-a295-60062b6af91c
品川駅(高輪口),品川駅(高輪口),JR山手線 品川駅(高輪口),97fdb61b-d3e3-58e0-b3bf-9efb90ffd39c
品川駅(港南口),品川駅(港南口),JR山手線 品川駅(港南口),ec5f6230-4a62-5f83-aeea-5588fc55c715
神田駅,神田駅,JR山手線 神田駅,b34a463b-37c0-53eb-a9e1-45b2ce97c56a
秋葉原駅,秋葉原駅,JR山手線 秋葉原駅,08d2a55c-3ad1-5892-b70d-e1646384567e
御徒町駅,御徒町駅,JR山手線 御徒町駅,d8ed653e-baf5-53f0-8f9d-fcb7f6e6a62d
上野駅,上野駅,JR山手線 上野駅,c96071a3-ccda-5337-ab06-78af7dd0ca90
鶯谷駅,鶯谷駅,JR山手線 鶯谷駅,fad14662-200d-5c41-a967-79f71a21f46e
日暮里駅,日暮里駅,JR山手線 日暮里駅,35a4f6f0-2f8f-570f-86b8-8caa54d8c7e8
西日暮里駅,西日暮里駅,JR山手線 西日暮里駅,8b00befe-ea0c-50d2-a222-256f2542f57b
田端駅,田端駅,JR山手線 田端駅,406e6932-4c1a-5474-883a-6935741c9756
駒込駅,駒込駅,JR山手線 駒込駅,2e8ab9ed-72bc-5a2d-afe8-ba9298f9fb2d
巣鴨駅,巣鴨駅,JR山手線 巣鴨駅,7979561e-2fc2-5ab1-8ded-cb8f047a9093
大塚駅,大塚駅,JR山手線 大塚駅,18287d6b-5a76-5d96-abfb-1013594b4766
目白駅,目白駅,JR山手線 目白駅,68832ef2-6798-5a2d-bad8-fbc2204ab08b
高田馬場駅,高田馬場駅,JR山手線 高田馬場駅,ff306d7c-cc99-51b4-a0c1-2706853fc047
