toilet_id,station_name,floor,lat,lon,description,features
270ba0cb-134b-5081-b8b4-7ebe0546c7af,巣鴨,不明,0.0,0.0,巣鴨駅前公衆便所,
eefc0bfb-9a9a-5cf8-87e6-bdf4832d80bf,駒込,不明,0.0,0.0,駒込駅付近のトイレ,
de05ec12-6183-5258-87d3-e734511a240a,駒込,不明,0.0,0.0,駒込駅付近のトイレ (0階),
c463d9ec-27e5-5fc6-ac73-eacaed1d9099,駒込,不明,0.0,0.0,駒込駅付近のトイレ (-2階),
3f63fb8c-ff4d-5237-8427-71f5614924bf,田端,不明,0.0,0.0,田端駅付近のトイレ,
670552b5-db7a-5a05-9c7d-d356e95ea96a,西日暮里,不明,0.0,0.0,西日暮里駅付近のトイレ,
8bc4146b-ced6-55cd-9009-330181f27b89,西日暮里,不明,0.0,0.0,諏訪台トイレ,
e611f629-6b25-5e9c-bdb1-e59c8dac4b8b,日暮里,不明,0.0,0.0,日暮里駅付近のトイレ,
Te477c3f1,日暮里,1F,0.0,0.0,日暮里駅付近のトイレ (1階) / ベビーチェア,
f0e7933a-bf42-5435-88fe-5ca27010dd26,鶯谷,不明,0.0,0.0,鶯谷駅付近のトイレ,
79a294f4-8e93-583a-834b-43b928f86ec9,上野,不明,0.0,0.0,上野駅付近のトイレ,
3eb55f44-e034-5396-992e-55b1c08300c9,上野,1F,0.0,0.0,上野駅付近のトイレ (-1階),
T2696e38f,上野,1F,0.0,0.0,上野駅付近のトイレ (-1階) / ベビーチェア,
Tad75bba5,上野,1F,0.0,0.0,上野駅付近のトイレ (-1階) / 車椅子OK,
Tc11154eb,上野,不明,0.0,0.0,上野駅付近のトイレ / 車椅子OK / ベビーチェア,
3016bc64-5370-5c60-b6a3-1ff4fe3891d1,上野,1F,0.0,0.0,上野駅付近のトイレ (1階),
e66b0040-91c3-55fd-ab21-402aeda44393,上野,不明,0.0,0.0,上野駅付近のトイレ (3階),
Tb861f764,上野,不明,0.0,0.0,上野駅付近のトイレ / 車椅子OK,
603da20f-176b-5b35-b646-c1f90de05139,御徒町,1F,0.0,0.0,御徒町駅付近のトイレ (-1階),
T8b519d6e,御徒町,不明,0.0,0.0,御徒町駅付近のトイレ / 車椅子OK / ベビーチェア,
T90c8d162,御徒町,不明,0.0,0.0,御徒町駅付近のトイレ / 車椅子OK,
Taf3733ad,秋葉原,不明,0.0,0.0,オアシスakiba / 車椅子OK,
546e772e-5b58-5db7-a303-f916f4935f00,秋葉原,不明,0.0,0.0,秋葉原駅付近のトイレ,
e004bad2-3e62-58b4-8929-566c15e46077,秋葉原,1F,0.0,0.0,秋葉原駅付近のトイレ (-1階),
515bceb5-963c-575c-998e-0bf985c3273f,秋葉原,1F,0.0,0.0,秋葉原駅付近のトイレ (1階),
5156f400-c956-59be-88de-490b583f70b3,秋葉原,不明,0.0,0.0,和泉橋公衆便所,
f4c1c094-5213-55bf-9961-5ba08af928dd,神田,1F,0.0,0.0,神田駅付近のトイレ (-1階),
38afaea3-a0dd-51d5-aaac-e21d5ce6833a,神田,不明,0.0,0.0,神田駅付近のトイレ,
17358ad6-a8c7-59d2-9ad9-b40d7ce0a76e,御茶ノ水,不明,0.0,0.0,御茶ノ水駅付近のトイレ,
Tabdd2895,御茶ノ水,不明,0.0,0.0,御茶ノ水駅付近のトイレ / ベビーチェア,
f7370aab-8f0d-5095-972c-ad99e55c8462,御茶ノ水,1F,0.0,0.0,御茶ノ水駅付近のトイレ (-1階),
T28d7567b,御茶ノ水,不明,0.0,0.0,文京区お茶の水公園便所 / 車椅子OK / ベビーチェア,
664a97c3-44fb-5d65-97ba-a1dd0f6e231f,水道橋,不明,0.0,0.0,水道橋駅付近のトイレ,
9bfbc5e8-aee6-5171-a458-92e86f720bba,飯田橋,不明,0.0,0.0,飯田橋駅付近のトイレ,
Tff1d330b,飯田橋,不明,0.0,0.0,飯田橋駅付近のトイレ / ベビーチェア,
Tc2c15115,飯田橋,不明,0.0,0.0,飯田橋駅付近のトイレ (0階) / ベビーチェア,
8c20ef03-c63a-51a5-9415-c338e893fbfe,飯田橋,1F,0.0,0.0,飯田橋駅付近のトイレ (1階),
06189142-6165-5482-b8d6-bc2989c411e3,市ケ谷,不明,0.0,0.0,市ケ谷駅付近のトイレ,
T8fb55c04,市ケ谷,不明,0.0,0.0,市ケ谷駅付近のトイレ (-3階) / 車椅子OK / ベビーチェア,
T3f42a755,市ケ谷,不明,0.0,0.0,市ケ谷駅付近のトイレ / 車椅子OK / ベビーチェア,
aa1460c4-1bcd-5e6d-9915-7e4af4cfda59,四ツ谷,不明,0.0,0.0,四ツ谷駅付近のトイレ (-2階),
f999e375-8238-5dc0-934b-9d1cc4d5d76f,四ツ谷,不明,0.0,0.0,四ツ谷駅付近のトイレ,
Ta3dccbb2,四ツ谷,不明,0.0,0.0,四ツ谷駅付近のトイレ / 車椅子OK,
13d57308-3fbe-5088-8707-a931bb1a82e6,信濃町,不明,0.0,0.0,信濃町駅付近のトイレ,
T3b34b8bf,千駄ケ谷,不明,0.0,0.0,千駄ケ谷駅付近のトイレ / 車椅子OK,
67d23cff-27f5-560f-b25e-00b93abf6c47,千駄ケ谷,不明,0.0,0.0,千駄ケ谷駅付近のトイレ,
