name,"latitude,longitude",is_wheelchair_accessible,station_name,inside_gate,address,,
上野駅(在来線改札内1階、M2階トイレ),"35.7132431429273,139.777122825332",TRUE,上野駅,TRUE,東京都台東区上野7-1-1,,","
上野駅(新幹線コンコース地下一階),"35.7137463874412,139.777176661003",TRUE,上野駅,TRUE,東京都台東区上野7-1-1,,
上野駅(エキュート上野新幹線側つきあたり左折),"35.71419022630496, 139.77725120269506",TRUE,上野駅,TRUE,東京都台東区上野7-1-1,,
